,Indicator Name,Year,Afghanistan,Australia,Bahrain,Belgium,Canada,Finland,France,Georgia,Greece,Iraq,Japan,Nepal,New Zealand,Pakistan
34,Agricultural irrigated land (% of total agricultural land),2003,7.264280435,0.541069397,,0.136474644,,,,,15.88705768,,32.29571984,,,49.45442701
35,Agricultural irrigated land (% of total agricultural land),2004,5.499894537,0.608246013,,,,,,,,,33.20939335,,,52.10153974
36,Agricultural irrigated land (% of total agricultural land),2005,5.839069547,0.58625649,,0.245842372,1.370507331,,5.771952746,,16.61461587,,33.50393701,,,52.77352982
37,Agricultural irrigated land (% of total agricultural land),2006,6.085465576,0.622034586,,,,,,3.971405878,18.64428335,,33.32409863,24.63560335,,52.94036253
38,Agricultural irrigated land (% of total agricultural land),2007,5.939758401,0.482734643,,0.417001975,,,5.175973512,4.171632896,18.6766413,,33.20203708,25.42006721,4.431096022,53.03640352
39,Agricultural irrigated land (% of total agricultural land),2008,5.77856314,0.475483447,,,,,,4.017501989,18.62348178,,32.48519763,25.86705202,,54.62577521
40,Agricultural irrigated land (% of total agricultural land),2009,4.842282941,0.458287032,,,,,,,18.22751323,,32.58553452,26.40096618,,55.0500326
41,Agricultural irrigated land (% of total agricultural land),2010,5.000395601,0.48914372,,,1.321207962,0.655351455,5.474602697,,18.32020296,,32.80839895,29.73824527,,55.72895976
42,Agricultural irrigated land (% of total agricultural land),2011,5.391006198,0.495555651,,,,,,,18.65873445,,31.99837365,,,51.95347284
43,Agricultural irrigated land (% of total agricultural land),2012,5.464999736,0.553121351,,,,,,,18.9070438,,32.19164118,,,51.46549095
44,Agricultural irrigated land (% of total agricultural land),2013,5.518332894,0.639634187,,0.426487093,,0.420633164,4.947573652,,19.19474346,,32.64513491,,,49.44873208
45,Agricultural irrigated land (% of total agricultural land),2014,5.74254814,0.630650361,,,,0.39698293,,,20.23867118,,32.29979466,,6.297229219,51.27992938
46,Agricultural irrigated land (% of total agricultural land),2015,5.710894223,0.617346367,,,1.559886177,0.351895839,,,19.90643652,,,,,51.73747307
47,Agricultural irrigated land (% of total agricultural land),2016,6.481139541,0.626674684,,,,0.351648352,,,19.68709257,,,,,50.55443822
48,Agricultural irrigated land (% of total agricultural land),2017,5.990503825,0.603490239,,,,,,,20.43611071,,,,,49.23925087
49,Agricultural irrigated land (% of total agricultural land),2018,5.122336227,0.640298695,,,,,,,20.65835394,,,,,50.41539253
50,Agricultural irrigated land (% of total agricultural land),2019,6.006314128,0.539344565,,,,,,,20.20265074,,,,,50.4638934
51,Agricultural irrigated land (% of total agricultural land),2020,6.506929763,0.427517392,,,,,6.394955984,,16.36218236,,,,,52.66454266
52,Agricultural irrigated land (% of total agricultural land),2021,6.506929763,0.535047687,,,,,,,,,,,,
53,Agricultural land (% of land area),1961,57.87835579,61.76333188,14.49275362,,6.897817098,9.080074855,63.07732766,,69.12335144,20.12026431,19.38914644,24.84615385,49.99050549,46.3496264
54,Agricultural land (% of land area),1962,57.95501587,62.03779226,14.49275362,,6.946559011,9.143767031,62.89652754,,69.06128782,20.24601596,19.41641669,24.84615385,50.3133189,46.49232046
55,Agricultural land (% of land area),1963,58.03167594,62.39922656,14.49275362,,6.995300923,9.214025411,62.73946885,,69.9844841,20.37176761,19.14371421,24.91608392,50.4652311,46.54420922
56,Agricultural land (% of land area),1964,58.11600202,62.72910581,14.49275362,,7.044042835,9.276732657,62.2920342,,69.75174554,20.2688799,19.17098446,24.84615385,50.57156963,47.16038813
57,Agricultural land (% of land area),1965,58.12366803,63.29604298,14.49275362,,7.092784747,9.328933977,62.0947977,,67.32350659,20.39463155,19.10008181,24.84615385,50.32851012,48.30194064
58,Agricultural land (% of land area),1966,58.1926621,63.39618678,14.49275362,,7.105053878,9.3877015,61.81172681,,70.51978278,20.40606352,18.80556313,24.84615385,50.25635183,48.53544002
59,Agricultural land (% of land area),1967,58.22945893,63.72838393,14.49275362,,7.089996308,9.433664927,61.41542755,,70.69821567,20.53181517,18.64739569,24.94405594,50.3095211,48.60678705
60,Agricultural land (% of land area),1968,58.23099213,66.85101611,14.49275362,,7.074938738,9.47536032,60.59178254,,70.93095423,20.54324714,18.53558767,24.94405594,50.3133189,48.21762142
61,Agricultural land (% of land area),1969,58.25552336,66.50196151,14.49275362,,7.059881168,9.079418234,60.58265122,,70.93871218,20.5546791,18.14016908,24.94405594,49.71706354,46.31070984
62,Agricultural land (% of land area),1970,58.27085537,64.22978776,14.49275362,,7.044823598,8.943826127,59.34444432,,71.02404965,20.56153829,18.26015817,25.88811189,49.70567012,46.52475093
63,Agricultural land (% of land area),1971,58.31685142,65.02429828,14.49275362,,7.029431415,8.876522538,59.5782061,,71.02404965,20.57525665,17.84292337,25.88811189,49.69807451,46.0318078
64,Agricultural land (% of land area),1972,58.33524984,65.06059383,14.49275362,,7.032442929,8.58104337,59.3809696,,71.06283941,20.94336603,17.65139116,26.72727273,51.2164369,46.05775218
65,Agricultural land (% of land area),1973,58.33708968,64.81092902,14.49275362,,7.035454443,8.477297351,59.28052509,,70.93095423,20.96622997,17.5177305,27.64335664,51.20067601,47.21876297
66,Agricultural land (% of land area),1974,58.3387762,65.13114562,14.49275362,,7.038465957,8.553793624,59.24765234,,70.91543832,21.21773327,17.39498091,27.93006993,51.18491512,46.36259859
67,Agricultural land (% of land area),1975,58.3387762,65.02570845,14.49275362,,7.041477471,8.58137168,59.09241991,,70.73700543,21.22916524,17.25238745,28.03496503,52.95469219,46.74527812
68,Agricultural land (% of land area),1976,58.33831624,65.18126082,14.49275362,,7.044599407,8.575133786,58.47879525,,70.71373157,21.22916524,17.1159618,28.14685315,54.51179218,46.32627646
69,Agricultural land (% of land area),1977,58.33831624,63.97953738,14.49275362,,7.002885477,8.52818543,58.27607996,,70.69045772,21.22916524,17.03056769,28.25174825,54.21822187,46.58701743
70,Agricultural land (% of land area),1978,58.33831624,64.5770147,14.49275362,,6.961058893,8.487146656,58.36921942,,71.17920869,21.46695018,16.94323144,28.35664336,55.06019521,47.24081569
71,Agricultural land (% of land area),1979,58.33678304,64.20447002,14.49275362,,6.919232309,8.429364063,58.13728391,,71.2257564,21.58126986,16.8558952,28.46153846,54.85169572,47.13703819
72,Agricultural land (% of land area),1980,58.33678304,64.51687646,14.49275362,,6.877405726,8.325946354,57.93274235,,71.21799845,21.58126986,16.79497679,28.56643357,55.41377084,48.53673724
73,Agricultural land (% of land area),1981,58.34291584,64.50737409,14.49275362,,6.83613683,8.262582488,57.86882312,,71.4197052,21.58126986,16.70578603,28.69230769,57.67916144,47.35367372
74,Agricultural land (% of land area),1982,58.34444904,63.8834724,14.49275362,,6.8274369,8.167372534,57.7939463,,71.4197052,21.60642019,16.64117968,28.71748252,55.52390718,49.95459734
75,Agricultural land (% of land area),1983,58.34444904,62.97449982,14.49275362,,6.818736971,8.044912834,57.64601893,,71.23351435,21.60642019,16.57291098,28.74265734,55.41566974,47.23043794
76,Agricultural land (% of land area),1984,58.34444904,63.33493876,14.49275362,,6.810037042,7.963820217,57.54192189,,71.44297905,21.60642019,16.56978338,28.76783217,54.96562987,48.64570361
77,Agricultural land (% of land area),1985,58.34444904,63.36526821,14.49275362,,6.801337112,7.907022555,57.42138847,,71.24903026,21.6407161,16.50027427,28.78601399,54.66180548,48.15016604
78,Agricultural land (% of land area),1986,58.34444904,60.98967757,14.49275362,,6.792513599,7.857776027,57.33555407,,71.21799845,21.675012,16.41074856,28.8951049,54.64661426,46.14336862
79,Agricultural land (% of land area),1987,58.33065023,61.31236739,14.49275362,,6.806579377,7.905709314,57.25885099,,71.19472459,21.675012,16.34119583,28.91328671,54.2098667,47.57030926
80,Agricultural land (% of land area),1988,58.32298422,61.44670216,14.49275362,,6.820633109,7.791457369,56.30371499,,71.2102405,21.78933169,16.25068568,28.93846154,53.89085109,45.85279161
81,Agricultural land (% of land area),1989,58.32298422,60.80262421,14.49275362,,6.834686842,7.832824453,56.14099488,,71.48952676,21.10341359,16.12177729,28.95664336,53.55094755,46.51826484
82,Agricultural land (% of land area),1990,58.32298422,60.45546256,14.49275362,,6.848740574,7.856462786,55.8705252,,71.54383243,21.10341359,15.99561163,28.98181818,52.85405036,45.66988377
83,Agricultural land (% of land area),1991,58.30765221,60.24003228,14.49275362,,6.863267939,7.960865426,55.67347133,,71.09387122,22.01797105,15.8639605,29,52.25241464,45.75290577
84,Agricultural land (% of land area),1992,58.30765221,60.65943793,14.08450704,,6.855655902,7.900784661,55.48974918,46.46711757,71.11714507,21.83505956,15.73230938,29.07832168,51.65490828,45.89559983
85,Agricultural land (% of land area),1993,58.16046487,59.89052758,14.08450704,,6.848071348,7.825929939,55.31990664,45.01367103,71.06283941,22.56670554,15.59517279,29.15664336,51.05592078,46.37557078
86,Agricultural land (% of land area),1994,57.97494749,61.06803952,14.08450704,,6.840486795,7.918513411,55.16211744,44.56756368,71.14041893,21.37778083,15.42786615,29.23496503,50.45684516,46.42745953
87,Agricultural land (% of land area),1995,57.89828741,60.31891491,14.08450704,,6.832902241,7.367280607,55.06222081,43.86242625,71.09387122,20.80618241,15.25507405,29.31328671,49.85782842,46.73360315
88,Agricultural land (% of land area),1996,57.88908821,60.55868685,14.08450704,,6.825206149,7.281919958,54.96378519,43.67534897,71.15593483,20.80618241,15.08916324,29.39160839,49.25878812,46.92299709
89,Agricultural land (% of land area),1997,57.94734986,60.16856931,14.08450704,,6.827771513,7.058669031,54.86023603,43.70413009,69.70519783,19.80016919,14.91632373,29.46993007,48.65998899,47.56771482
90,Agricultural land (% of land area),1998,58.05927357,60.3830884,14.08450704,,6.830448414,7.196559309,54.7513907,43.81925457,68.13033359,19.77730526,14.74897119,29.54825175,48.06121948,47.68576173
91,Agricultural land (% of land area),1999,57.89982062,59.05692306,14.08450704,,6.833125316,7.227420467,54.65843387,43.15728882,67.26144298,19.43434621,14.59807956,29.62657343,47.46247731,47.68057285
92,Agricultural land (% of land area),2000,57.94581666,59.28810382,13.94366197,45.89167768,6.835802217,7.281919958,54.43607814,43.17167938,66.16757176,19.43434621,14.42524005,29.64143704,46.86381983,47.60533416
93,Agricultural land (% of land area),2001,57.94734986,59.31817294,13.78873239,45.7992074,6.838162441,7.295052365,54.26422703,43.21485106,65.46159814,19.41148227,14.30178326,29.71049878,46.26516767,47.9607721
94,Agricultural land (% of land area),2002,57.93968385,58.1856996,13.64788732,45.87516513,6.925478412,7.341015792,54.0768527,43.22924162,64.72459271,19.868761,14.19753086,29.58493198,45.66634195,47.84661685
95,Agricultural land (% of land area),2003,58.08380479,57.20942947,13.30555556,45.97754293,6.909305467,7.37384681,53.90833907,43.25802274,64.01861908,19.868761,14.10150892,29.48726892,45.03437013,47.79213367
96,Agricultural land (% of land area),2004,58.15126566,51.40465746,12.98630137,45.94782034,6.893132521,7.396828524,53.79871322,35.861275,62.68425136,19.868761,14.01920439,29.42448552,45.15589989,46.75825031
97,Agricultural land (% of land area),2005,58.13440044,53.39937258,12.66216216,45.67371202,6.876959575,7.465117043,53.67550776,36.26421068,62.10240497,20.21172005,13.93689986,29.3128706,44.47989062,46.65447281
98,Agricultural land (% of land area),2006,58.12366803,53.27857543,12.52702703,45.57463672,6.757391315,7.56568347,53.53360472,36.23542956,61.0007758,20.5546791,13.86392318,29.19427973,43.20003038,46.875
99,Agricultural land (% of land area),2007,58.12980084,51.85367663,12.21333333,45.14200793,6.693145683,7.546778914,53.33892179,36.221039,60.14740109,20.89763816,13.7909465,29.06173701,43.62538453,46.71673931
100,Agricultural land (% of land area),2008,58.13286724,50.67336605,11.92105263,45.08916777,6.62890005,7.556433037,53.16359758,36.17786732,59.4026377,18.72556417,13.71522634,28.96407394,43.19623258,45.80868618
101,Agricultural land (% of land area),2009,58.13286724,50.01848405,11.77631579,45.0330251,6.564654418,7.556762093,52.99886587,35.94761836,58.65011637,18.07423098,13.64773663,28.88036275,43.63677794,45.7619863
102,Agricultural land (% of land area),2010,58.13440044,48.99209872,11.61417323,44.77212682,6.500408785,7.541625535,52.82792476,35.40077709,58.09930178,18.92613741,13.58847737,28.78269969,43.32535794,45.71658364
103,Agricultural land (% of land area),2011,58.13133404,51.56281322,11.39504563,44.11162483,6.435683541,7.524433183,52.74081055,35.14750324,57.37781226,19.68594585,13.4951989,28.78688525,43.18483916,46.61685347
104,Agricultural land (% of land area),2012,58.12980084,50.38543145,11.22077922,43.98943197,6.443636169,7.519497186,52.67908181,35.0410131,56.50116369,19.72854117,13.45679012,28.74782002,42.5711139,46.78160025
105,Agricultural land (% of land area),2013,58.12366803,48.39371022,11.07792208,44.13804491,6.451555335,7.431965514,52.54923232,35.7763707,55.49262995,20.41736539,13.42112483,28.74782002,42.17842087,47.06309672
106,Agricultural land (% of land area),2014,58.12366803,48.73839866,10.93385214,43.9663144,6.459474502,7.460265228,52.536083,34.76759246,48.10705974,21.35084583,13.36076818,28.74782002,42.21639892,47.0267746
107,Agricultural land (% of land area),2015,58.12366803,45.31442407,10.6940874,43.85733157,6.467505206,7.480504097,52.46376176,34.79781263,48.09154383,21.35084583,13.29492455,28.74782002,40.68208575,46.96191366
108,Agricultural land (% of land area),2016,58.12366803,44.53992579,10.55198973,44.61030383,6.474755147,7.485768813,52.4475461,34.45100014,47.60279286,21.44298456,13.20438957,28.74782002,40.30990088,47.72986716
109,Agricultural land (% of land area),2017,58.12366803,48.34061794,10.3974359,43.82430647,6.454410697,7.469070808,52.4100669,34.31860699,46.96307836,21.48905392,13.10836763,28.74782002,40.42383502,48.00098589
110,Agricultural land (% of land area),2018,58.27698818,46.65809501,10.41131105,44.71598415,6.456819908,7.475651487,52.34176533,34.16606706,46.11086424,21.53512328,13.02057613,28.74782002,39.86935551,47.93612495
111,Agricultural land (% of land area),2019,58.27698818,47.12377243,10.38461538,44.79599075,6.434356244,7.481985984,52.27069693,34.14304216,45.5173623,21.58119264,12.93552812,28.74782002,39.28829137,47.11887713
112,Agricultural land (% of land area),2020,58.74154823,46.25247984,10.31847134,45.06635733,6.370735222,7.468579325,52.14754628,34.21931213,45.5173623,21.74243541,12.84499314,28.74782002,38.56291064,47.63776463
113,Agricultural land (% of land area),2021,58.74154823,47.2592375,10.25316456,45.10138705,6.484576786,7.461810042,52.14754628,34.24809325,45.5173623,21.70788339,12.781893,28.74782002,38.64266454,47.09293275
114,Agricultural land (sq. km),1961,377500,4744844.445,100,18110,618430,27657,345390,32290,89100,88000,71100,35530,131630,357300
115,Agricultural land (sq. km),1962,378000,4765929.315,100,18160,622800,27851,344400,32290,89020,88550,71200,35530,132480,358400
116,Agricultural land (sq. km),1963,378500,4793695.782,100,17720,627170,28065,343540,32290,90210,89100,70200,35630,132880,358800
117,Agricultural land (sq. km),1964,379050,4819038.096,100,17610,631540,28256,341090,32290,89910,88650,70300,35530,133160,363550
118,Agricultural land (sq. km),1965,379100,4862591.91,100,17580,635910,28415,340010,32290,86780,89200,70040,35530,132520,372350
119,Agricultural land (sq. km),1966,379550,4870285.257,100,17550,637010,28594,338460,32290,90900,89250,68960,35530,132330,374150
120,Agricultural land (sq. km),1967,379790,4895805.639,100,17580,635660,28734,336290,32290,91130,89800,68380,35670,132470,374700
121,Agricultural land (sq. km),1968,379800,5135695.611,100,17520,634310,28861,331780,32290,91430,89850,67970,35670,132480,371700
122,Agricultural land (sq. km),1969,379960,5108880.189,100,17630,632960,27655,331730,32290,91440,89900,66520,35670,130910,357000
123,Agricultural land (sq. km),1970,380060,4934324.985,100,17630,631610,27242,324950,32290,91550,89930,66960,37020,130880,358650
124,Agricultural land (sq. km),1971,380360,4995361.667,100,17560,630230,27037,326230,32290,91550,89990,65430,37020,130860,354850
125,Agricultural land (sq. km),1972,380480,4998150,100,17480,630500,26137,325150,32290,91600,91600,64710,38220,134858,355050
126,Agricultural land (sq. km),1973,380492,4978970,100,17630,630770,25821,324600,32290,91430,91700,64220,39530,134816.5,364000
127,Agricultural land (sq. km),1974,380503,5003570,100,18010,631040,26054,324420,32290,91410,92800,63770,39940,134775,357400
128,Agricultural land (sq. km),1975,380503,4995470,100,17910,631310,26138,323570,32290,91180,92850,63230,40090,139435,360350
129,Agricultural land (sq. km),1976,380500,5007420,100,17810,631589.9,26119,320210,32290,91150,92850,62730,40250,143535,357120
130,Agricultural land (sq. km),1977,380500,4915100,100,17680,627850,25976,319100,32290,91120,92850,62400,40400,142762,359130
131,Agricultural land (sq. km),1978,380500,4961000,100,17760,624100,25851,319610,32290,91750,93890,62080,40550,144979,364170
132,Agricultural land (sq. km),1979,380490,4932380,100,16890,620350,25675,318340,32290,91810,94390,61760,40700,144430,363370
133,Agricultural land (sq. km),1980,380490,4956380,100,14710,616600,25360,317220,32290,91800,94390,61520,40850,145910,374160
134,Agricultural land (sq. km),1981,380530,4955650,100,14600,612900,25167,316870,32290,92060,94390,61210,41030,151875,365040
135,Agricultural land (sq. km),1982,380540,4907720,100,15310,612120,24877,316460,32290,92060,94500,60940,41066,146200,385090
136,Agricultural land (sq. km),1983,380540,4837890,100,15280,611340,24504,315650,32290,91820,94500,60690,41102,145915,364090
137,Agricultural land (sq. km),1984,380540,4865580,100,15240,610560,24257,315080,32290,92090,94500,60430,41138,144730,375000
138,Agricultural land (sq. km),1985,380540,4867910,100,15160,609780,24084,314420,32290,91840,94650,60160,41164,143930,371180
139,Agricultural land (sq. km),1986,380540,4685410,100,15100,608988.92,23934,313950,32290,91800,94800,59850,41320,143890,355710
140,Agricultural land (sq. km),1987,380450,4710200,100,15010,610250,24080,313530,32290,91770,94800,59580,41346,142740,366710
141,Agricultural land (sq. km),1988,380400,4720520,100,14960,611510,23732,308300,32290,91790,95300,59250,41382,141900,353470
142,Agricultural land (sq. km),1989,380400,4671040,100,14660,612770,23858,307409,32290,92150,92300,58780,41408,141005,358600
143,Agricultural land (sq. km),1990,380400,4644370,100,14430,614030,23930,305928,32290,92220,92300,58320,41444,139170,352060
144,Agricultural land (sq. km),1991,380300,4627820,100,14230,615332.464,24248,304849,32290,91640,96300,57840,41470,137585.833,352700
145,Agricultural land (sq. km),1992,380300,4660040,100,14710,614650,24065,303843,32290,91670,95500,57360,41582,136012.539,353800
146,Agricultural land (sq. km),1993,379340,4600970,100,14830,613970,23837,302913,31280,91600,98700,56860,41694,134435.345,357500
147,Agricultural land (sq. km),1994,378130,4691430,100,14920,613290,24119,302049,30970,91700,93500,56250,41806,132857.919,357900
148,Agricultural land (sq. km),1995,377630,4633880,100,14950,612610,22440,301502,30480,91640,91000,55620,41918,131280.648,360260
149,Agricultural land (sq. km),1996,377570,4652300,100,15010,611920,22180,300963,30350,91720,91000,55000,42030,129703.315,361720
150,Agricultural land (sq. km),1997,377950,4622330,100,15100,612150,21500,300396,30370,89850,86600,54370,42142,128126.617,366690
151,Agricultural land (sq. km),1998,378680,4638810,100,15180,612390,21920,299800,30450,87820,86500,53760,42254,126549.997,367600
152,Agricultural land (sq. km),1999,377640,4536930,100,15210,612630,22014,299291,29990,86700,85000,53210,42366,124973.449,367560
153,Agricultural land (sq. km),2000,377940,4554690,99,13896,612870,22180,298074,30000,85290,85000,52580,42491,123397.124,366980
154,Agricultural land (sq. km),2001,377950,4557000,97.9,13868,613081.608,22220,297133,30030,84380,84900,52130,42590,121820.813,369720
155,Agricultural land (sq. km),2002,377900,4470000,96.9,13891,620910,22360,296107,30040,83430,86900,51750,42410,120244.045,368840
156,Agricultural land (sq. km),2003,378840,4395000,95.8,13922,619460,22460,295346,30060,82520,86900,51400,42270,118580,368420
157,Agricultural land (sq. km),2004,379280,3949060,94.8,13913,618010,22530,294584,24920,80800,86900,51100,42180,118900,360450
158,Agricultural land (sq. km),2005,379170,4102300,93.7,13830,616560,22738,293904,25200,80050,88400,50800,42020,117120,359650
159,Agricultural land (sq. km),2006,379100,4093020,92.7,13800,605840,23008,293127,25180,78630,89900,50534,41850,113750,361350
160,Agricultural land (sq. km),2007,379140,3983555,91.6,13669,600080,22949,292061,25170,77530,91400,50268,41660,114870,360130
161,Agricultural land (sq. km),2008,379160,3892880,90.6,13653,594320,22964,291101,25140,76570,81900,49992,41520,113740,353130
162,Agricultural land (sq. km),2009,379160,3842570,89.5,13636,588560,22965,290199,24980,75600,78500,49746,41400,114900,352770
163,Agricultural land (sq. km),2010,379170,3763720,88.5,13557,582800,22919,289263,24600,74890,82200,49530,41260,114080,352420
164,Agricultural land (sq. km),2011,379150,3961210,87.4,13357,576997,22866,288786,24424,73960,85500,49190,41266,113710,359360
165,Agricultural land (sq. km),2012,379140,3870760,86.4,13320,577710,22851,288448,24350,72830,85685,49050,41210,112094,360630
166,Agricultural land (sq. km),2013,379100,3717750,85.3,13365,578420,22585,287737,24861,71530,88637.5,48920,41210,111060,362800
167,Agricultural land (sq. km),2014,379100,3744230,84.3,13313,579130,22671,287665,24160,62010,92690,48700,41210,111160,362520
168,Agricultural land (sq. km),2015,379100,3481190,83.2,13280,579850,22734,287269,24181,61990,92690,48460,41210,107120,362020
169,Agricultural land (sq. km),2016,379100,3426020,82.2,13508,580500,22750,287180.21,23940,61360,93090,48130,41210,106140,367940
170,Agricultural land (sq. km),2017,379100,3718370,81.1,13270,578676,22700,286974.99,23848,60535.408,93290,47780,41210,106440,370030
171,Agricultural land (sq. km),2018,380100,3588950,81,13540,578892,22720,286601,23742,59436.904,93490,47460,41210,104980,369530
172,Agricultural land (sq. km),2019,380100,3624770,81,13564.226,576878,22740,286211.86,23726,58671.88,93690,47150,41210,103450,363230
173,Agricultural land (sq. km),2020,383130,3557750,81,13646.093,571174,22700,285537.54,23779,58671.88,94390,46820,41210,101540,367230
174,Agricultural land (sq. km),2021,383130,3635190,81,13656.7,569910,22680,285537.54,23799,58671.88,94240,46590,41210,101750,363030
175,"Agriculture, forestry, and fishing, value added (% of GDP)",1960,,,,,,,10.53721655,,,,,,,43.1892013
176,"Agriculture, forestry, and fishing, value added (% of GDP)",1961,,,,,,,9.079271295,,,,,,,41.72742569
177,"Agriculture, forestry, and fishing, value added (% of GDP)",1962,,,,,,,9.832003655,,,,,,,40.02923264
178,"Agriculture, forestry, and fishing, value added (% of GDP)",1963,,,,,,,8.828416465,,,,,,,38.84001451
179,"Agriculture, forestry, and fishing, value added (% of GDP)",1964,,,,,,,7.98671472,,,,,,,38.3240539
180,"Agriculture, forestry, and fishing, value added (% of GDP)",1965,,,,,,,7.787024679,,,,,64.58407648,,36.96830175
181,"Agriculture, forestry, and fishing, value added (% of GDP)",1966,,,,,,,7.593026344,,,,,68.69300568,,33.83689668
182,"Agriculture, forestry, and fishing, value added (% of GDP)",1967,,,,,,,7.566028254,,,,,66.23538322,,35.05317054
183,"Agriculture, forestry, and fishing, value added (% of GDP)",1968,,,,,,,7.322666175,,,16.23006283,,67.39160414,,36.54167537
184,"Agriculture, forestry, and fishing, value added (% of GDP)",1969,,,,,,,6.67995657,,,15.02513498,,66.42454686,,33.95003507
185,"Agriculture, forestry, and fishing, value added (% of GDP)",1970,,,,,,,6.627790418,,,16.60551242,,66.86815807,,33.43176059
186,"Agriculture, forestry, and fishing, value added (% of GDP)",1971,,,,,,,6.066679982,,,15.79332553,,66.83821697,11.40773158,31.96629324
187,"Agriculture, forestry, and fishing, value added (% of GDP)",1972,,,,,,,6.776281736,,,18.99233297,,67.84646088,13.16056911,32.80229729
188,"Agriculture, forestry, and fishing, value added (% of GDP)",1973,,,,,,,6.775119084,,,13.54166667,,65.33252722,11.90088034,32.45866177
189,"Agriculture, forestry, and fishing, value added (% of GDP)",1974,,,,,,,5.412027683,,,8.186068394,,68.41817725,8.239366963,31.87668838
190,"Agriculture, forestry, and fishing, value added (% of GDP)",1975,,,,,,9.799162169,4.813122149,,,7.840374406,,69.00609461,9.922725676,30.16018636
191,"Agriculture, forestry, and fishing, value added (% of GDP)",1976,,,,,,9.30482677,4.559227033,,,8.182338356,,66.08600762,10.78487539,29.40842564
192,"Agriculture, forestry, and fishing, value added (% of GDP)",1977,,,,,,8.661221468,4.31574247,,,8.507732751,,60.12152894,9.454708176,29.36132703
